id	creation	first_use	last_use	expiration	count_use
4730040682909	2024-09-09			2025-09-30	0
4730041253771	2024-09-09			2025-09-30	0
4730045668410	2024-09-09			2025-09-30	0
4730056092105	2024-09-09			2025-09-30	0
4730083149902	2024-09-09			2025-09-30	0
4730087007697	2024-09-09			2025-09-30	0
4730116599629	2024-09-09			2025-09-30	0
4730128877043	2024-09-09			2025-09-30	0
4730134718453	2024-09-09			2025-09-30	0
4730141301280	2024-09-09			2025-09-30	0
4730161404510	2024-09-09			2025-09-30	0
4730185161864	2024-09-09			2025-09-30	0
4730217379939	2024-09-09			2025-09-30	0
4730221350191	2024-09-09			2025-09-30	0
4730249568196	2024-09-09			2025-09-30	0
4730278843721	2024-09-09			2025-09-30	0
4730313793813	2024-09-09			2025-09-30	0
4730321979391	2024-09-09			2025-09-30	0
4730335855650	2024-09-09			2025-09-30	0
4730350482534	2024-09-09			2025-09-30	0
4730394336633	2024-09-09			2025-09-30	0
4730418364581	2024-09-09			2025-09-30	0
4730435484842	2024-09-09			2025-09-30	0
4730446094818	2024-09-09			2025-09-30	0
4730521530880	2024-09-09			2025-09-30	0
4730548676929	2024-09-09			2025-09-30	0
4730555987865	2024-09-09			2025-09-30	0
4730561216799	2024-09-09			2025-09-30	0
4730607584509	2024-09-09			2025-09-30	0
4730614969818	2024-09-09			2025-09-30	0
4730616506585	2024-09-09			2025-09-30	0
4730672976995	2024-09-09			2025-09-30	0
4730676521726	2024-09-09			2025-09-30	0
4730696907111	2024-09-09			2025-09-30	0
4730762917150	2024-09-09			2025-09-30	0
4730770625535	2024-09-09			2025-09-30	0
4730776186733	2024-09-09			2025-09-30	0
4730820556727	2024-09-09			2025-09-30	0
4730861670222	2024-09-09			2025-09-30	0
4730880439350	2024-09-09	2024-09-18	2024-09-18	2025-09-30	2
4730881417623	2024-09-09			2025-09-30	0
4730885457540	2024-09-09			2025-09-30	0
4730899127927	2024-09-09	2024-10-30	2024-10-30	2025-09-30	2
4730971400238	2024-09-09			2025-09-30	0
4730988586949	2024-09-09			2025-09-30	0
4731001680613	2024-09-09			2025-09-30	0
4731008546783	2024-09-09			2025-09-30	0
4731013039126	2024-09-09			2025-09-30	0
4731016668972	2024-09-09			2025-09-30	0
4731062590258	2024-09-09			2025-09-30	0
4731084298132	2024-09-09			2025-09-30	0
4731093143515	2024-09-09			2025-09-30	0
4731102797326	2024-09-09			2025-09-30	0
4731119598022	2024-09-09			2025-09-30	0
4731125533253	2024-09-09			2025-09-30	0
4731140544821	2024-09-09			2025-09-30	0
4731157789550	2024-09-09			2025-09-30	0
4731171937494	2024-09-09			2025-09-30	0
4731210275334	2024-09-09			2025-09-30	0
4731254527475	2024-09-09			2025-09-30	0
4731278895857	2024-09-09			2025-09-30	0
4731290888523	2024-09-09			2025-09-30	0
4731330982136	2024-09-09			2025-09-30	0
4731337054898	2024-09-09			2025-09-30	0
4731337857437	2024-09-09			2025-09-30	0
4731376005431	2024-09-09			2025-09-30	0
4731380011855	2024-09-09			2025-09-30	0
4731385571248	2024-09-09			2025-09-30	0
4731389842412	2024-09-09			2025-09-30	0
4731392078600	2024-09-09			2025-09-30	0
4731393436782	2024-09-09			2025-09-30	0
4731396442544	2024-09-09			2025-09-30	0
4731412612586	2024-09-09			2025-09-30	0
4731429976909	2024-09-09			2025-09-30	0
4731432597245	2024-09-09			2025-09-30	0
4731433690624	2024-09-09			2025-09-30	0
4731449568122	2024-09-09			2025-09-30	0
4731452033778	2024-09-09			2025-09-30	0
4731490783734	2024-09-09			2025-09-30	0
4731493097463	2024-09-09			2025-09-30	0
4731512205381	2024-09-09			2025-09-30	0
4731623713560	2024-09-09			2025-09-30	0
4731624314759	2024-09-09			2025-09-30	0
4731699389966	2024-09-09			2025-09-30	0
4731701675957	2024-09-09			2025-09-30	0
4731713310327	2024-09-09			2025-09-30	0
4731730323775	2024-09-09			2025-09-30	0
4731733034111	2024-09-09			2025-09-30	0
4731784789404	2024-09-09			2025-09-30	0
4731797302119	2024-09-09			2025-09-30	0
4731824034778	2024-09-09			2025-09-30	0
4731832154093	2024-09-09			2025-09-30	0
4731842644416	2024-09-09			2025-09-30	0
4731857980622	2024-09-09	2024-12-07	2024-12-07	2025-09-30	1
4731908770523	2024-09-09			2025-09-30	0
4731918137774	2024-09-09			2025-09-30	0
4731922368010	2024-09-09			2025-09-30	0
4731924635790	2024-09-09			2025-09-30	0
4731951850777	2024-09-09			2025-09-30	0
4731965686089	2024-09-09			2025-09-30	0
4731968655228	2024-09-09			2025-09-30	0
4731986465564	2024-09-09			2025-09-30	0
4731993442824	2024-09-09			2025-09-30	0
4732037350945	2024-09-09			2025-09-30	0
4732049271887	2024-09-09			2025-09-30	0
4732051176859	2024-09-09			2025-09-30	0
4732079643180	2024-09-09			2025-09-30	0
4732086693697	2024-09-09			2025-09-30	0
4732107808147	2024-09-09			2025-09-30	0
4732118504847	2024-09-09			2025-09-30	0
4732146182499	2024-09-09	2024-09-21	2024-09-21	2025-09-30	2
4732163861643	2024-09-09			2025-09-30	0
4732179943074	2024-09-09			2025-09-30	0
4732192461173	2024-09-09			2025-09-30	0
4732215196587	2024-09-09			2025-09-30	0
4732231672706	2024-09-09			2025-09-30	0
4732243725551	2024-09-09			2025-09-30	0
4732261553389	2024-09-09			2025-09-30	0
4732335109818	2024-09-09			2025-09-30	0
4732344399170	2024-02-17			2025-02-28	0
4732346359189	2024-09-09			2025-09-30	0
4732369068839	2024-09-09			2025-09-30	0
4732411997919	2024-09-09			2025-09-30	0
4732424638694	2024-09-09			2025-09-30	0
4732432278677	2024-09-09			2025-09-30	0
4732434146004	2024-09-09			2025-09-30	0
4732438124152	2024-09-09			2025-09-30	0
4732444192602	2022-10-15			2023-10-31	0
4732448227324	2024-09-09	2024-09-22	2024-12-08	2025-09-30	2
4732487254954	2024-09-09			2025-09-30	0
4732488854900	2024-09-09			2025-09-30	0
4732510470085	2024-09-09			2025-09-30	0
4732511399194	2024-09-09			2025-09-30	0
4732524654099	2024-09-09			2025-09-30	0
4732540891959	2024-09-09			2025-09-30	0
4732565554372	2024-09-09			2025-09-30	0
4732573076071	2024-09-09			2025-09-30	0
4732579498532	2024-09-09			2025-09-30	0
4732618340280	2024-09-09			2025-09-30	0
4732626723808	2024-09-09	2024-09-20	2024-09-20	2025-09-30	1
4732631847391	2024-09-09	2024-12-10	2024-12-20	2025-09-30	5
4732634675434	2024-09-09			2025-09-30	0
4732646524027	2024-09-09			2025-09-30	0
4732663649970	2024-09-09			2025-09-30	0
4732685123663	2024-09-09			2025-09-30	0
4732687977349	2024-09-09			2025-09-30	0
4732693756921	2024-09-09			2025-09-30	0
4732721761378	2024-09-09			2025-09-30	0
4732740893722	2024-09-09			2025-09-30	0
4732746635456	2024-09-09			2025-09-30	0
4732748284386	2024-09-09			2025-09-30	0
4732803558193	2024-09-09			2025-09-30	0
4732807031234	2024-09-09			2025-09-30	0
4732814483316	2024-09-09			2025-09-30	0
4732882891600	2024-09-09			2025-09-30	0
